cohort,task,scope,feature,trajectories,positive_trajectories,groups,auc,auc_low,auc_high,force_auc_same_subset,delta_vs_force,delta_low,delta_high,interpretation
Phase2B,stalled_vs_success,band10_15,abs_dforce_dt,61,21,22,0.788933890776065,0.6040760088807626,0.9395013669649996,0.8161745492552915,-0.02724065847922652,-0.06843594150755206,0.010008941593166346,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,band10_15,rms_dforce_dt,61,21,22,0.7901097465377582,0.6021224043359017,0.944250242891578,0.8161745492552915,-0.02606480271753331,-0.06616933760683757,0.010487354501786991,descriptive grouped association; no held-out classifier or causal inference
Phase2B,stalled_vs_success,band10_15,abs_dforce_ddepth,61,21,22,0.7681604389861512,0.5872174517808363,0.9176982026023217,0.8161745492552915,-0.048014110269140375,-0.09585237621138191,-0.0016694568452381613,descriptive grouped association; no held-out classifier or causal inference
Phase2B,difficult_vs_success,whole,full_sensitivity,70,30,24,0.962749445676275,0.9053300043421624,1.0,0.9937915742793791,-0.03104212860310418,-0.09088651444184233,0.011241217798594882,descriptive grouped association; no held-out classifier or causal inference
Phase2B,difficult_vs_success,whole,translation_sensitivity,70,30,24,0.9645232815964523,0.9073774545279105,1.0,0.9937915742793791,-0.029268292682926855,-0.08997316549570653,0.012186186612416104,descriptive grouped association; no held-out classifier or causal inference
Phase2B,difficult_vs_success,whole,lateral_tilt_sensitivity,70,30,24,0.9175166297117516,0.8297456781914894,0.9800414125725302,0.9937915742793791,-0.07627494456762751,-0.16493234594369666,-0.011224489795918422,descriptive grouped association; no held-out classifier or causal inference
Phase2B,difficult_vs_success,whole,force_norm,70,30,24,0.9937915742793791,0.9788252682989526,1.0,0.9937915742793791,0.0,0.0,0.0,descriptive grouped association; no held-out classifier or causal inference
Phase2B,difficult_vs_success,whole,torque_norm,70,30,24,1.0,1.0,1.0,0.9937915742793791,0.006208425720620858,0.0,0.02117473170104748,descriptive grouped association; no held-out classifier or causal inference
Phase2B,difficult_vs_success,whole,normal_load,70,30,24,1.0,1.0,1.0,0.9937915742793791,0.006208425720620858,0.0,0.02117473170104748,descriptive grouped association; no held-out classifier or causal inference
Phase2B,difficult_vs_success,whole,progress_rate,70,30,24,0.7942350332594235,0.6267238315810112,0.9283173309178743,0.9937915742793791,-0.19955654101995568,-0.3713764578857219,-0.0651873713167045,descriptive grouped association; no held-out classifier or causal inference
Phase2B,difficult_vs_success,whole,abs_dforce_dt,70,30,24,0.9716186252771618,0.9384898520811833,0.998255463700674,0.9937915742793791,-0.022172949002217335,-0.058222726442822975,0.007827889806742106,descriptive grouped association; no held-out classifier or causal inference
Phase2B,difficult_vs_success,whole,rms_dforce_dt,70,30,24,0.976940133037694,0.9305122666087712,1.0,0.9937915742793791,-0.01685144124168514,-0.06798578667974428,0.015409000721500716,descriptive grouped association; no held-out classifier or causal inference
Phase2B,difficult_vs_success,whole,abs_dforce_ddepth,70,30,24,0.8363636363636363,0.7136401728253216,0.9315079365079365,0.9937915742793791,-0.15742793791574283,-0.28093885198758084,-0.060441815126832436,descriptive grouped association; no held-out classifier or causal inference
Phase2B,difficult_vs_success,band10_15,full_sensitivity,70,30,24,0.8215077605321508,0.6711804383671569,0.9299474789915966,0.7445676274944567,0.07694013303769409,-0.019478694968204167,0.20667863337812634,descriptive grouped association; no held-out classifier or causal inference
Phase2B,difficult_vs_success,band10_15,translation_sensitivity,70,30,24,0.8188470066518847,0.670768437929455,0.9290441176470589,0.7445676274944567,0.074279379157428,-0.021743653151125267,0.20667863337812634,descriptive grouped association; no held-out classifier or causal inference
Phase2B,difficult_vs_success,band10_15,lateral_tilt_sensitivity,70,30,24,0.8348115299334812,0.6838983050847458,0.9364439650078663,0.7445676274944567,0.09024390243902447,-0.013309460432918706,0.22466371792458745,descriptive grouped association; no held-out classifier or causal inference
Phase2B,difficult_vs_success,band10_15,force_norm,70,30,24,0.7445676274944567,0.6169563438981138,0.8662032901625376,0.7445676274944567,0.0,0.0,0.0,descriptive grouped association; no held-out classifier or causal inference
