trajectory_id,study,group_id,role,family,stalled,stall_confirmation_s,stall_lookback_start_s,insertion_success,numerically_valid,grasp_retained,max_depth_mm,max_normal_load_n,windows
Forge-Phase2B-Stage2/b009_try00,Forge-Phase2B-Stage2,Phase2B:b_d10_y_roll_-1_tilt,quarantined_shared_path,tilt_only,False,,,False,True,True,19.06203255057335,9.382707595825195,60
Forge-Phase2B-Stage2/b010_try00,Forge-Phase2B-Stage2,Phase2B:b_d5_x_pitch_+1_drift,quarantined_shared_path,x_offset,False,,,True,True,True,20.106637477874756,1.0053633451461792,87
Forge-Phase2B-Stage2/b011_try00,Forge-Phase2B-Stage2,Phase2B:b_d5_x_pitch_+1_tilt,quarantined_shared_path,tilt_only,True,9.775000000124464,9.275000000124464,False,True,True,18.693184107542038,6.522717475891113,87
Forge-Phase2B-Stage2/b012_try00,Forge-Phase2B-Stage2,Phase2B:b_d5_x_pitch_-1_combined,quarantined_shared_path,offset_tilt,False,,,False,True,True,18.61647665500641,4.721670627593994,87
Forge-Phase2B-Stage2/b013_try00,Forge-Phase2B-Stage2,Phase2B:b_d5_x_pitch_-1_drift,quarantined_shared_path,x_offset,False,,,True,True,True,19.93394047021866,0.7879865765571594,87
Forge-Phase2B-Stage2/b014_try00,Forge-Phase2B-Stage2,Phase2B:b_d5_y_roll_+1_combined,quarantined_shared_path,offset_tilt,True,9.616666666526726,9.116666666526726,False,True,True,18.72943863272667,7.876302719116211,87
Forge-Phase2B-Stage2/b015_try00,Forge-Phase2B-Stage2,Phase2B:b_d5_y_roll_+1_drift,quarantined_shared_path,y_offset,False,,,True,True,True,19.979511946439743,0.30712151527404785,87
Forge-Phase2B-Stage2/b016_try00,Forge-Phase2B-Stage2,Phase2B:b_d5_y_roll_+1_tilt,quarantined_shared_path,tilt_only,True,9.733333333191695,9.233333333191695,False,True,True,18.697933852672577,7.288765907287598,87
Forge-Phase2B-Stage2/b017_try00,Forge-Phase2B-Stage2,Phase2B:b_d5_y_roll_-1_combined,quarantined_shared_path,offset_tilt,True,9.558333333194241,9.058333333194241,False,True,True,18.701759725809097,7.083099842071533,87
Forge-Phase2B-Stage2/b018_try00,Forge-Phase2B-Stage2,Phase2B:b_d5_y_roll_-1_drift,quarantined_shared_path,y_offset,False,,,True,True,True,20.08565291762352,0.5217646956443787,87
Forge-Phase2B-Stage2/b019_try00,Forge-Phase2B-Stage2,Phase2B:b_d5_y_roll_-1_tilt,development,tilt_only,True,9.766666666524543,9.266666666524543,False,True,True,18.680045008659363,7.075092792510986,87
Forge-Phase2B-Stage3/b000_try00,Forge-Phase2B-Stage3,Phase2B:b_d10_x_pitch_+1_combined,quarantined_shared_path,offset_tilt,True,9.741666666666207,9.241666666666207,False,True,True,17.925431579351425,10.219026565551758,60
Forge-Phase2B-Stage3/b001_try00,Forge-Phase2B-Stage3,Phase2B:b_d10_x_pitch_+1_drift,quarantined_shared_path,x_offset,False,,,True,True,True,20.068524032831192,1.0342555046081543,60
Forge-Phase2B-Stage3/b002_try00,Forge-Phase2B-Stage3,Phase2B:b_d10_y_roll_-1_drift,quarantined_shared_path,y_offset,False,,,True,True,True,20.039355009794235,0.592182457447052,60
Forge-Phase2B-Stage3/b003_try00,Forge-Phase2B-Stage3,Phase2B:b_d10_y_roll_-1_tilt,quarantined_shared_path,tilt_only,True,9.549999999991371,9.049999999991371,False,True,True,18.075471371412277,12.978172302246094,60
Forge-Phase2B-Stage3/b004_try00,Forge-Phase2B-Stage3,Phase2B:b_d5_x_pitch_+1_drift,quarantined_shared_path,x_offset,False,,,True,True,True,20.050709694623947,1.1345369815826416,87
Forge-Phase2B-Stage3/b005_try00,Forge-Phase2B-Stage3,Phase2B:b_d5_x_pitch_+1_tilt,quarantined_shared_path,tilt_only,True,9.28333333332489,8.78333333332489,False,True,True,17.306102067232132,9.299274444580078,87
Forge-Phase2B-Stage3/b006_try00,Forge-Phase2B-Stage3,Phase2B:b_d5_x_pitch_-1_combined,quarantined_shared_path,offset_tilt,True,9.474999999991383,8.974999999991383,False,True,True,17.314733564853668,8.452686309814453,87
Forge-Phase2B-Stage3/b007_try00,Forge-Phase2B-Stage3,Phase2B:b_d5_x_pitch_-1_drift,quarantined_shared_path,x_offset,False,,,True,True,True,19.863826781511307,0.9752393960952759,87
Forge-Phase2B-Stage3/b008_try00,Forge-Phase2B-Stage3,Phase2B:b_d5_y_roll_+1_combined,quarantined_shared_path,offset_tilt,True,9.133333333449627,8.633333333449627,False,True,True,17.37753078341484,11.68912124633789,87
Forge-Phase2B-Stage3/b009_try00,Forge-Phase2B-Stage3,Phase2B:b_d5_y_roll_+1_drift,quarantined_shared_path,y_offset,False,,,True,True,True,19.854304939508438,0.5101162195205688,87
Forge-Phase2B-Stage3/b010_try00,Forge-Phase2B-Stage3,Phase2B:b_d5_y_roll_+1_tilt,quarantined_shared_path,tilt_only,True,9.25000000011778,8.75000000011778,False,True,True,17.291133850812912,11.429861068725586,87
